penalty,n_items,items_code,items_label,mae,hi_missed_pct,kappa,mae_vs_a1,a1_mae_ref,a0_miss_pct_ref,champion
EN,8,"ADL0101,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0110A,ADL0115A,ADL0116A","Q1먹기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q10설거지,Q15외출,Q16a쇼핑",0.5411,18.43,0.5543,0.0477,0.5887,17.75,True
EN,8,"ADL0101,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0111A,ADL0115A,ADL0116A","Q1먹기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q11식사준비,Q15외출,Q16a쇼핑",0.5438,17.06,0.5555,0.0449,0.5887,17.75,True
EN,8,"ADL0101,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0112A,ADL0115A,ADL0116A","Q1먹기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q12집안일,Q15외출,Q16a쇼핑",0.5388,18.09,0.5581,0.0499,0.5887,17.75,True
EN,8,"ADL0101,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0113A,ADL0115A,ADL0116A","Q1먹기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q13빨래,Q15외출,Q16a쇼핑",0.5806,15.7,0.5339,0.0082,0.5887,17.75,True
EN,8,"ADL0101,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0114A,ADL0115A,ADL0116A","Q1먹기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q14가전,Q15외출,Q16a쇼핑",0.5388,18.09,0.5578,0.0499,0.5887,17.75,True
EN,8,"ADL0101,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0115A,ADL0116A,ADL0116B","Q1먹기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q15외출,Q16a쇼핑,Q16b지불",0.5511,16.72,0.5562,0.0377,0.5887,17.75,True
EN,8,"ADL0101,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0115A,ADL0116A,ADL0117A","Q1먹기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q15외출,Q16a쇼핑,Q17금전",0.5497,18.09,0.5469,0.039,0.5887,17.75,True
EN,8,"ADL0101,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0115A,ADL0116A,Q18","Q1먹기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q15외출,Q16a쇼핑,Q18혼자있기",0.5488,16.04,0.556,0.0399,0.5887,17.75,True
EN,8,"ADL0101,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0115A,ADL0116A,ADL0121A","Q1먹기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q15외출,Q16a쇼핑,Q21글쓰기",0.542,18.43,0.5569,0.0468,0.5887,17.75,True
EN,8,"ADL0101,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0115A,ADL0116A,ADL0122Q","Q1먹기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q15외출,Q16a쇼핑,Q22취미",0.5411,17.75,0.5564,0.0477,0.5887,17.75,True
EN,8,"ADL0101,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0115A,ADL0116A,ADL0123L","Q1먹기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q15외출,Q16a쇼핑,Q23가전사용",0.5393,17.41,0.5586,0.0495,0.5887,17.75,True
EN,8,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106B,ADL0106A,ADL0115A,ADL0116A","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6b옷입기,Q6a옷고르기,Q15외출,Q16a쇼핑",0.6064,13.65,0.5247,-0.0177,0.5887,17.75,False
EN,8,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0115A,ADL0116A","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q15외출,Q16a쇼핑",0.6064,13.31,0.5271,-0.0177,0.5887,17.75,False
EN,8,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0110A,ADL0115A,ADL0116A","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q10설거지,Q15외출,Q16a쇼핑",0.6087,13.65,0.5237,-0.02,0.5887,17.75,False
EN,8,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0111A,ADL0115A,ADL0116A","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q11식사준비,Q15외출,Q16a쇼핑",0.5438,16.72,0.5582,0.0449,0.5887,17.75,True
EN,8,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0112A,ADL0115A,ADL0116A","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q12집안일,Q15외출,Q16a쇼핑",0.5388,17.75,0.5603,0.0499,0.5887,17.75,True
EN,8,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0113A,ADL0115A,ADL0116A","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q13빨래,Q15외출,Q16a쇼핑",0.5792,15.36,0.5375,0.0095,0.5887,17.75,True
EN,8,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0114A,ADL0115A,ADL0116A","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q14가전,Q15외출,Q16a쇼핑",0.5806,15.36,0.5351,0.0082,0.5887,17.75,True
EN,8,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0115A,ADL0116A,ADL0116B","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q15외출,Q16a쇼핑,Q16b지불",0.5729,13.99,0.5501,0.0159,0.5887,17.75,True
EN,8,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0115A,ADL0116A,ADL0117A","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q15외출,Q16a쇼핑,Q17금전",0.5851,15.02,0.5337,0.0036,0.5887,17.75,True
EN,8,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0115A,ADL0116A,Q18","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q15외출,Q16a쇼핑,Q18혼자있기",0.5465,16.04,0.5578,0.0422,0.5887,17.75,True
EN,8,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0115A,ADL0116A,ADL0121A","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q15외출,Q16a쇼핑,Q21글쓰기",0.5674,15.36,0.5479,0.0213,0.5887,17.75,True
EN,8,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0115A,ADL0116A,ADL0122Q","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q15외출,Q16a쇼핑,Q22취미",0.5384,17.41,0.5617,0.0504,0.5887,17.75,True
EN,8,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0115A,ADL0116A,ADL0123L","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q15외출,Q16a쇼핑,Q23가전사용",0.5356,17.06,0.5623,0.0531,0.5887,17.75,True
EN,8,"ADL0103,ADL0104,ADL0105,ADL0106B,ADL0106A,ADL0107A,ADL0115A,ADL0116A","Q3화장실,Q4목욕,Q5몸단장,Q6b옷입기,Q6a옷고르기,Q7전화,Q15외출,Q16a쇼핑",0.5801,16.04,0.5358,0.0086,0.5887,17.75,True
EN,8,"ADL0103,ADL0104,ADL0105,ADL0106B,ADL0106A,ADL0110A,ADL0115A,ADL0116A","Q3화장실,Q4목욕,Q5몸단장,Q6b옷입기,Q6a옷고르기,Q10설거지,Q15외출,Q16a쇼핑",0.5824,16.04,0.5348,0.0064,0.5887,17.75,True
EN,8,"ADL0103,ADL0104,ADL0105,ADL0106B,ADL0106A,ADL0111A,ADL0115A,ADL0116A","Q3화장실,Q4목욕,Q5몸단장,Q6b옷입기,Q6a옷고르기,Q11식사준비,Q15외출,Q16a쇼핑",0.6037,14.33,0.524,-0.015,0.5887,17.75,False
EN,8,"ADL0103,ADL0104,ADL0105,ADL0106B,ADL0106A,ADL0112A,ADL0115A,ADL0116A","Q3화장실,Q4목욕,Q5몸단장,Q6b옷입기,Q6a옷고르기,Q12집안일,Q15외출,Q16a쇼핑",0.5724,15.36,0.5376,0.0163,0.5887,17.75,True
EN,8,"ADL0103,ADL0104,ADL0105,ADL0106B,ADL0106A,ADL0113A,ADL0115A,ADL0116A","Q3화장실,Q4목욕,Q5몸단장,Q6b옷입기,Q6a옷고르기,Q13빨래,Q15외출,Q16a쇼핑",0.5778,15.7,0.5365,0.0109,0.5887,17.75,True
EN,8,"ADL0103,ADL0104,ADL0105,ADL0106B,ADL0106A,ADL0114A,ADL0115A,ADL0116A","Q3화장실,Q4목욕,Q5몸단장,Q6b옷입기,Q6a옷고르기,Q14가전,Q15외출,Q16a쇼핑",0.601,15.02,0.5269,-0.0123,0.5887,17.75,False
EN,8,"ADL0103,ADL0104,ADL0105,ADL0106B,ADL0106A,ADL0115A,ADL0116A,ADL0116B","Q3화장실,Q4목욕,Q5몸단장,Q6b옷입기,Q6a옷고르기,Q15외출,Q16a쇼핑,Q16b지불",0.5733,13.99,0.5453,0.0154,0.5887,17.75,True
EN,8,"ADL0103,ADL0104,ADL0105,ADL0106B,ADL0106A,ADL0115A,ADL0116A,ADL0117A","Q3화장실,Q4목욕,Q5몸단장,Q6b옷입기,Q6a옷고르기,Q15외출,Q16a쇼핑,Q17금전",0.5865,16.04,0.5301,0.0023,0.5887,17.75,True
EN,8,"ADL0103,ADL0104,ADL0105,ADL0106B,ADL0106A,ADL0115A,ADL0116A,Q18","Q3화장실,Q4목욕,Q5몸단장,Q6b옷입기,Q6a옷고르기,Q15외출,Q16a쇼핑,Q18혼자있기",0.5447,16.72,0.5574,0.044,0.5887,17.75,True
EN,8,"ADL0103,ADL0104,ADL0105,ADL0106B,ADL0106A,ADL0115A,ADL0116A,ADL0121A","Q3화장실,Q4목욕,Q5몸단장,Q6b옷입기,Q6a옷고르기,Q15외출,Q16a쇼핑,Q21글쓰기",0.5447,18.43,0.554,0.044,0.5887,17.75,True
EN,8,"ADL0103,ADL0104,ADL0105,ADL0106B,ADL0106A,ADL0115A,ADL0116A,ADL0122Q","Q3화장실,Q4목욕,Q5몸단장,Q6b옷입기,Q6a옷고르기,Q15외출,Q16a쇼핑,Q22취미",0.5352,17.75,0.5621,0.0536,0.5887,17.75,True
EN,8,"ADL0103,ADL0104,ADL0105,ADL0106B,ADL0106A,ADL0115A,ADL0116A,ADL0123L","Q3화장실,Q4목욕,Q5몸단장,Q6b옷입기,Q6a옷고르기,Q15외출,Q16a쇼핑,Q23가전사용",0.5742,15.02,0.5386,0.0145,0.5887,17.75,True
EN,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0110A,ADL0115A,ADL0116A","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q10설거지,Q15외출,Q16a쇼핑",0.5869,16.04,0.5324,0.0018,0.5887,17.75,True
EN,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0111A,ADL0115A,ADL0116A","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q11식사준비,Q15외출,Q16a쇼핑",0.5588,15.02,0.5546,0.03,0.5887,17.75,True
EN,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0112A,ADL0115A,ADL0116A","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q12집안일,Q15외출,Q16a쇼핑",0.5665,16.04,0.5477,0.0222,0.5887,17.75,True
EN,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0113A,ADL0115A,ADL0116A","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q13빨래,Q15외출,Q16a쇼핑",0.6055,13.65,0.5271,-0.0168,0.5887,17.75,False
EN,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0114A,ADL0115A,ADL0116A","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q14가전,Q15외출,Q16a쇼핑",0.6074,13.99,0.5253,-0.0186,0.5887,17.75,False
EN,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0115A,ADL0116A,ADL0116B","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q15외출,Q16a쇼핑,Q16b지불",0.5624,13.99,0.5579,0.0263,0.5887,17.75,True
EN,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0115A,ADL0116A,ADL0117A","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q15외출,Q16a쇼핑,Q17금전",0.5906,16.04,0.53,-0.0018,0.5887,17.75,False
EN,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0115A,ADL0116A,Q18","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q15외출,Q16a쇼핑,Q18혼자있기",0.5656,15.02,0.552,0.0232,0.5887,17.75,True
EN,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0115A,ADL0116A,ADL0121A","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q15외출,Q16a쇼핑,Q21글쓰기",0.542,18.09,0.5576,0.0468,0.5887,17.75,True
EN,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0115A,ADL0116A,ADL0122Q","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q15외출,Q16a쇼핑,Q22취미",0.5388,17.75,0.5597,0.0499,0.5887,17.75,True
EN,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0115A,ADL0116A,ADL0123L","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q15외출,Q16a쇼핑,Q23가전사용",0.5352,16.72,0.5621,0.0536,0.5887,17.75,True
EN,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0110A,ADL0111A,ADL0115A,ADL0116A","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q10설거지,Q11식사준비,Q15외출,Q16a쇼핑",0.5415,17.06,0.5582,0.0472,0.5887,17.75,True
EN,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0110A,ADL0112A,ADL0115A,ADL0116A","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q10설거지,Q12집안일,Q15외출,Q16a쇼핑",0.5393,18.09,0.5601,0.0495,0.5887,17.75,True
EN,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0110A,ADL0113A,ADL0115A,ADL0116A","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q10설거지,Q13빨래,Q15외출,Q16a쇼핑",0.5788,15.7,0.5369,0.01,0.5887,17.75,True
EN,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0110A,ADL0114A,ADL0115A,ADL0116A","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q10설거지,Q14가전,Q15외출,Q16a쇼핑",0.5892,16.04,0.5294,-0.0005,0.5887,17.75,False
EN,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0110A,ADL0115A,ADL0116A,ADL0116B","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q10설거지,Q15외출,Q16a쇼핑,Q16b지불",0.5529,17.75,0.5565,0.0359,0.5887,17.75,True
EN,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0110A,ADL0115A,ADL0116A,ADL0117A","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q10설거지,Q15외출,Q16a쇼핑,Q17금전",0.5919,16.04,0.5279,-0.0032,0.5887,17.75,False
EN,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0110A,ADL0115A,ADL0116A,Q18","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q10설거지,Q15외출,Q16a쇼핑,Q18혼자있기",0.5497,16.04,0.5572,0.039,0.5887,17.75,True
EN,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0110A,ADL0115A,ADL0116A,ADL0121A","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q10설거지,Q15외출,Q16a쇼핑,Q21글쓰기",0.5433,18.09,0.5582,0.0454,0.5887,17.75,True
EN,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0110A,ADL0115A,ADL0116A,ADL0122Q","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q10설거지,Q15외출,Q16a쇼핑,Q22취미",0.5415,17.75,0.5597,0.0472,0.5887,17.75,True
EN,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0110A,ADL0115A,ADL0116A,ADL0123L","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q10설거지,Q15외출,Q16a쇼핑,Q23가전사용",0.5402,17.06,0.5606,0.0486,0.5887,17.75,True
EN,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0111A,ADL0112A,ADL0115A,ADL0116A","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q11식사준비,Q12집안일,Q15외출,Q16a쇼핑",0.6123,14.68,0.5202,-0.0236,0.5887,17.75,False
EN,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0111A,ADL0113A,ADL0115A,ADL0116A","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q11식사준비,Q13빨래,Q15외출,Q16a쇼핑",0.5592,15.36,0.5541,0.0295,0.5887,17.75,True
EN,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0111A,ADL0114A,ADL0115A,ADL0116A","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q11식사준비,Q14가전,Q15외출,Q16a쇼핑",0.5443,17.41,0.5548,0.0445,0.5887,17.75,True
EN,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0111A,ADL0115A,ADL0116A,ADL0116B","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q11식사준비,Q15외출,Q16a쇼핑,Q16b지불",0.5692,14.33,0.5507,0.0195,0.5887,17.75,True
EN,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0111A,ADL0115A,ADL0116A,ADL0117A","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q11식사준비,Q15외출,Q16a쇼핑,Q17금전",0.5397,17.06,0.5612,0.049,0.5887,17.75,True
EN,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0111A,ADL0115A,ADL0116A,Q18","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q11식사준비,Q15외출,Q16a쇼핑,Q18혼자있기",0.542,16.72,0.5628,0.0468,0.5887,17.75,True
EN,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0111A,ADL0115A,ADL0116A,ADL0121A","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q11식사준비,Q15외출,Q16a쇼핑,Q21글쓰기",0.5433,17.41,0.5562,0.0454,0.5887,17.75,True
EN,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0111A,ADL0115A,ADL0116A,ADL0122Q","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q11식사준비,Q15외출,Q16a쇼핑,Q22취미",0.5433,17.41,0.5588,0.0454,0.5887,17.75,True
EN,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0111A,ADL0115A,ADL0116A,ADL0123L","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q11식사준비,Q15외출,Q16a쇼핑,Q23가전사용",0.5388,16.72,0.5604,0.0499,0.5887,17.75,True
EN,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0112A,ADL0113A,ADL0115A,ADL0116A","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q12집안일,Q13빨래,Q15외출,Q16a쇼핑",0.5379,18.09,0.5599,0.0508,0.5887,17.75,True
EN,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0112A,ADL0114A,ADL0115A,ADL0116A","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q12집안일,Q14가전,Q15외출,Q16a쇼핑",0.571,16.38,0.5452,0.0177,0.5887,17.75,True
EN,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0112A,ADL0115A,ADL0116A,ADL0116B","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q12집안일,Q15외출,Q16a쇼핑,Q16b지불",0.5733,14.68,0.5476,0.0154,0.5887,17.75,True
EN,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0112A,ADL0115A,ADL0116A,ADL0117A","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q12집안일,Q15외출,Q16a쇼핑,Q17금전",0.5452,18.09,0.5523,0.0436,0.5887,17.75,True
EN,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0112A,ADL0115A,ADL0116A,Q18","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q12집안일,Q15외출,Q16a쇼핑,Q18혼자있기",0.5497,16.72,0.5536,0.039,0.5887,17.75,True
EN,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0112A,ADL0115A,ADL0116A,ADL0121A","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q12집안일,Q15외출,Q16a쇼핑,Q21글쓰기",0.5415,18.09,0.5571,0.0472,0.5887,17.75,True
EN,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0112A,ADL0115A,ADL0116A,ADL0122Q","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q12집안일,Q15외출,Q16a쇼핑,Q22취미",0.5438,17.75,0.5578,0.0449,0.5887,17.75,True
EN,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0112A,ADL0115A,ADL0116A,ADL0123L","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q12집안일,Q15외출,Q16a쇼핑,Q23가전사용",0.5397,17.06,0.5609,0.049,0.5887,17.75,True
EN,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0113A,ADL0114A,ADL0115A,ADL0116A","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q13빨래,Q14가전,Q15외출,Q16a쇼핑",0.5828,15.7,0.5354,0.0059,0.5887,17.75,True
